[INFO] [1778284362.482085280] [remote_control_node]: Parsed point: id='pile79', x=355270.665000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.482102944] [remote_control_node]: Parsed point: id='pile80', x=355270.665000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.482120224] [remote_control_node]: Parsed point: id='pile81', x=355272.983000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.482137088] [remote_control_node]: Parsed point: id='pile82', x=355272.983000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.482154336] [remote_control_node]: Parsed point: id='pile83', x=355228.453000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482171520] [remote_control_node]: Parsed point: id='pile84', x=355228.453000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482188608] [remote_control_node]: Parsed point: id='pile85', x=355230.759000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482205920] [remote_control_node]: Parsed point: id='pile86', x=355230.759000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482222752] [remote_control_node]: Parsed point: id='pile87', x=355234.208000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482240096] [remote_control_node]: Parsed point: id='pile88', x=355234.208000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482257056] [remote_control_node]: Parsed point: id='pile89', x=355237.653000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482274080] [remote_control_node]: Parsed point: id='pile90', x=355237.653000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482290816] [remote_control_node]: Parsed point: id='pile91', x=355241.092000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482308000] [remote_control_node]: Parsed point: id='pile92', x=355241.092000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482344096] [remote_control_node]: Parsed point: id='pile93', x=355244.526000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482363136] [remote_control_node]: Parsed point: id='pile94', x=355244.526000000, y=4348665.592000000, z=0.000000000
[INFO] [1778284362.482380672] [remote_control_node]: Parsed point: id='pile95', x=355247.958000000, y=4348662.917000000, z=0.000000000
[INFO] [1778284362.482398656] [remote_control_node]: Parsed point: id='pile96', x=355247.958000000, y=4348665.592000000, z=0.000000000
